SL No.,Ayurveda Term,Sentence where it appears,Classification
2087,Rakta,"[217-224] 
Curds qualities and benefits: 
रोचनं दीपनं िृष्यं स्नेहनं बलिधघनम्| 
पाकेऽम्लमुष्णं िातघ्नं मङ्गल्यं बृंहणं दगध||२२५|| 
पीनसे चाततसारे च शीतके वििमज्िरे| 
अरुचौ मूत्रकृच्रे च काश्ये च दगध शस्यते||२२६|| 
शरद्धग्रीष्मिसवतेिु प्रायशो दगध गहहघतम्| 
रक्तवपत्तकफोत्थेिु विकारेष्िहहतं च तत्||२२७|| 
 
rocanaṃ dīpanaṃ vṛṣyaṃ snehanaṃ balavardhanam| 
pāke’mlamuṣṇaṃ vātaghnaṃ maṅgalyaṃ bṛṃhaṇaṃ dadhi||225|| 
pīnase cātisāre ca śītake viṣamajvare| 
arucau mūtrakṛcchre ca kārśye ca dadhi śasyate||226|| 
śaradgrīṣmavasanteṣu prāyaśo dadhi garhitam| 
raktapittakaphottheṣu vikāreṣvahitaṃ ca tat||227|| 
Curd is 
Rochana – improves taste, appetizer 
Deepana – improves digestion strength 
Vrushya – aphrodisiac 
Snehana – imparts oiliness Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1217 
 
Balavardhana – improves strength and immunity 
Amla Vipaka – Sour taste conversion after digestion 
Ushna – hot 
Vataghna – Balances Vata 
Mangalya – auspicious 
Brumhana – improves nourishment 
Useful in 
Pinasa (rhinitis), 
Atisara – diarrhea, 
Sheetaka (fever with cold), 
Vishamajwara – irregular fever, 
Aruchi – Anorexia, lack of interest in food 
Mutrakrichra – dysuria, difficulty to pass urine 
Karshya – emaciation 
It is generally harmful during autumn, summer and spring seasons.",Ingredient
2088,Pitta,"It is 
invariably harmful in diseases caused by the vitiation of blood, Pitta and 
Kapha.[225-227] 
Creams: 
त्रत्रदोिं मवदकं, जातं िातघ्नं दगध, शुक्रलः| 
सरः, श्लेष्मातनलघ्नस्तु मण्डः स्रोतोविशोधनः||२२८|| 
 
tridoṣaṃ mandakaṃ, jātaṃ vātaghnaṃ dadhi, śukralaḥ| 
saraḥ, śleṣmānilaghnastu maṇḍaḥ srotoviśodhanaḥ||228|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1218 
 
Immature curd aggravates all the three Dosa.",Symptom
2089,Kapha,"It is 
invariably harmful in diseases caused by the vitiation of blood, Pitta and 
Kapha.[225-227] 
Creams: 
त्रत्रदोिं मवदकं, जातं िातघ्नं दगध, शुक्रलः| 
सरः, श्लेष्मातनलघ्नस्तु मण्डः स्रोतोविशोधनः||२२८|| 
 
tridoṣaṃ mandakaṃ, jātaṃ vātaghnaṃ dadhi, śukralaḥ| 
saraḥ, śleṣmānilaghnastu maṇḍaḥ srotoviśodhanaḥ||228|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1218 
 
Immature curd aggravates all the three Dosa.",Symptom
2090,Vata,"Curd in its primary stage 
alleviates Vata.",Symptom
2091,Vata,"Cream of curd is Shukrala – improves male and female reproductive 
system, improves semena and sperm quality and quantity 
Whey alleviates Kapha as well as Vata and also charities the channels of 
circulation.[228] 
Buttermilk: 
शोफाशोग्रहणीदोिमूत्रग्रहोदरारुचौ| 
स्नेहव्यापहद पाण्डुत्िे तक्रं दयाद्गरेिु च||२२९|| 
 
śophārśograhaṇīdoṣamūtragrahodarārucau| 
snehavyāpadi pāṇḍutve takraṃ dadyādgareṣu ca||229|| 
Buttermilk is useful in 
Shopha – oedema, 
Arsha – Hemorrhoids 
Grahani – Malabsorption syndrome, Irritable Bowel Syndrome 
Mutragraha – urine retention 
Udara – Ascites 
Aruchi – Anorexia, lack of interest in food 
Snehavyapat – in case of ghee and fat indigestion 
affliction with Gara type of poision.",Symptom
2092,Kapha,"Cream of curd is Shukrala – improves male and female reproductive 
system, improves semena and sperm quality and quantity 
Whey alleviates Kapha as well as Vata and also charities the channels of 
circulation.[228] 
Buttermilk: 
शोफाशोग्रहणीदोिमूत्रग्रहोदरारुचौ| 
स्नेहव्यापहद पाण्डुत्िे तक्रं दयाद्गरेिु च||२२९|| 
 
śophārśograhaṇīdoṣamūtragrahodarārucau| 
snehavyāpadi pāṇḍutve takraṃ dadyādgareṣu ca||229|| 
Buttermilk is useful in 
Shopha – oedema, 
Arsha – Hemorrhoids 
Grahani – Malabsorption syndrome, Irritable Bowel Syndrome 
Mutragraha – urine retention 
Udara – Ascites 
Aruchi – Anorexia, lack of interest in food 
Snehavyapat – in case of ghee and fat indigestion 
affliction with Gara type of poision.",Symptom
2093,Pitta,"Piles, facial paralysis and anorexia.[230] 
Ghee: 
स्मृततबुद्धध्यन्ननशुक्रौजःकफमेदोवििधघनम्| 
िातवपत्तवििोवमादशोिालक्ष्मीज्िरापहम् ||२३१|| 
सिघस्नेहोत्तमं शीतं मधुरं रसपाकयोः| 
सहस्रिीयं विगधसभर्ृघतं कमघसहस्रकृत्||२३२|| 
मदापस्मारमूच्छाघयशोिोवमादगरज्िरान्| 
योतनकणघसशरःशूलं र्ृतं जीणघमपोहतत||२३३|| 
सपींष्यजावि महहिीिीरित् स्िातन तनहदघशेत्|२३४| 
 
smṛtibuddhyagniśukraujaḥkaphamedovivardhanam| 
vātapittaviṣonmādaśoṣālakṣmījvarāpaham ||231|| 
sarvasnehottamaṃ śītaṃ madhuraṃ rasapākayoḥ| 
sahasravīryaṃ vidhibhirghṛtaṃ karmasahasrakṛt||232|| 
madāpasmāramūrcchāyaśoṣonmādagarajvarān| 
yonikarṇaśiraḥśūlaṃ ghṛtaṃ jīrṇamapohati||233|| 
sarpīṃṣyajāvi mahiṣīkṣīravat svāni nirdiśet|234| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1220 
 
Cow ghee promotes memory, intellect, power of digestion, semen, Ojas, 
Kapha and fat.",Symptom
2094,Kapha,"Piles, facial paralysis and anorexia.[230] 
Ghee: 
स्मृततबुद्धध्यन्ननशुक्रौजःकफमेदोवििधघनम्| 
िातवपत्तवििोवमादशोिालक्ष्मीज्िरापहम् ||२३१|| 
सिघस्नेहोत्तमं शीतं मधुरं रसपाकयोः| 
सहस्रिीयं विगधसभर्ृघतं कमघसहस्रकृत्||२३२|| 
मदापस्मारमूच्छाघयशोिोवमादगरज्िरान्| 
योतनकणघसशरःशूलं र्ृतं जीणघमपोहतत||२३३|| 
सपींष्यजावि महहिीिीरित् स्िातन तनहदघशेत्|२३४| 
 
smṛtibuddhyagniśukraujaḥkaphamedovivardhanam| 
vātapittaviṣonmādaśoṣālakṣmījvarāpaham ||231|| 
sarvasnehottamaṃ śītaṃ madhuraṃ rasapākayoḥ| 
sahasravīryaṃ vidhibhirghṛtaṃ karmasahasrakṛt||232|| 
madāpasmāramūrcchāyaśoṣonmādagarajvarān| 
yonikarṇaśiraḥśūlaṃ ghṛtaṃ jīrṇamapohati||233|| 
sarpīṃṣyajāvi mahiṣīkṣīravat svāni nirdiśet|234| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1220 
 
Cow ghee promotes memory, intellect, power of digestion, semen, Ojas, 
Kapha and fat.",Symptom
2095,Pitta,"It alleviates Vata, Pitta 
Visha – toxic conditions 
Unmada – insanity, 
Shosha – emaciation 
Alakshmihara – it is auspicious.",Symptom
2096,Vata,"It alleviates Vata, Pitta 
Visha – toxic conditions 
Unmada – insanity, 
Shosha – emaciation 
Alakshmihara – it is auspicious.",Symptom
2097,Jwara,"Purana Ghrita – Old cow ghee is useful in 
Mada – intoxication, 
Apasmara – epilepsy, 
Moorcha – fainting, 
Shosha – emaciation 
Unmada – schizophrenia, insanity 
Gara – remnant poisons 
Jwara – fever 
Pain in the ear, head as well as female genital tract.",Disease
2098,Vata,Aphrodisiac and alleviators of Vata.,Symptom
2099,Kapha,"[234-236] 
Varieties of sugarcane – Ikshu Varga : 
िृष्यः शीतः सरः न्स्ननधो बृंहणो मधुरो रसः| 
श्लेष्मलो भक्षितस्येिोयाघन्वत्रकस्तु विदह्यते||२३७|| 
शैत्यात् प्रसादावमाधुयाघत् पौण्रकाद्वंशको िरः|२३८| 
 
vṛṣyaḥ śītaḥ saraḥ snigdho bṛṃhaṇo madhuro rasaḥ| 
śleṣmalo bhakṣitasyekṣoryāntrikastu vidahyate||237|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1222 
 
śaityāt prasādānmādhuryāt pauṇḍrakādvaṃśako varaḥ|238| 
When taken by chewing, sugarcane juice is 
Vrushya – aphrodisiac 
Sheeta – cold 
Sara – laxative, promotes movement of liquids in channels 
Snigdha – unctuous, oily 
Brumhana – improves nourishment 
Madhura – sweet 
Shleshmala – increases Kapha 
But the machine pressed juice causes burning sensation (indigestion).",Symptom
2100,Pitta,"236] 
Products of Sugarcane: 
Jaggery - 
प्रभूतक्रक्रसममज्जासृङ्मेदोमांसकरो गुडः||२३८|| 
िुरो गुडश्चतुभाघगत्रत्रभागाधाघिशेवितः| 
रसो गुरुयघथापूिं धौतः स्िल्पमलो गुडः||२३९|| 
ततो मत्स्यन्ण्डकािण्डशकघरा विमलाः परम्| 
यथा यथैिां िैमल्यं भिेच्छैत्यं तथा तथा||२४०|| 
िृष्या िीणितहहता सस्नेहा गुडशकघरा| 
किायमधुरा शीता सततक्ता यासशकघरा||२४१|| 
रूिा िम्यततसारघ्नी च्छेदनी मधुशकघरा| 
तृष्णासृन्क्तपत्तदाहेिु प्रशस्ताः सिघशकघराः||२४२|| 
 
prabhūtakrimimajjāsṛṅmedomāṃsakaro guḍaḥ||238|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1223 
 
kṣudro guḍaścaturbhāgatribhāgārdhāvaśeṣitaḥ| 
raso gururyathāpūrvaṃ dhautaḥ svalpamalo guḍaḥ||239|| 
tato matsyaṇḍikākhaṇḍaśarkarā vimalāḥ param| 
yathā yathaiṣāṃ vaimalyaṃ bhavecchaityaṃ tathā tathā||240|| 
vṛṣyā kṣīṇakṣatahitā sasnehā guḍaśarkarā| 
kaṣāyamadhurā śītā satiktā yāsaśarkarā||241|| 
rūkṣā vamyatisāraghnī cchedanī madhuśarkarā| 
tṛṣṇāsṛkpittadāheṣu praśastāḥ sarvaśarkarāḥ||242|| 
Treacle / jaggery (Guda) causes increased parasitic infection.",Symptom
2101,Pitta,"Sugar in general is useful in thirst, Raktapitta (a disease characterized by 
bleeding from different parts of the body) and burning sensation.[238-242] 
Types of honey and benefits:  
माक्षिकं भ्रामरं िौरं पौवत्तकं मधुजातयः| 
माक्षिकं प्रिरं तेिां विशेिाद्धभ्रामरं गुरु||२४३|| 
माक्षिकं तैलिणं स्याद्घृतिणं तु पौवत्तकम्| 
िौरं कवपलिणं स्याच््िेतं भ्रामरमुच्यते||२४४|| 
िातलं गुरु शीतं च रक्तवपत्तकफापहम्| 
सवधातृ च्छेदनं रूिं किायं मधुरं मधु ||२४५|| 
हवयावमधूष्णमुष्णातघमथिा सवििावियात्| 
गुरुरूिकिायत्िाच्छैत्याच्चाल्पं हहतं मधु||२४६|| 
 
mākṣikaṃ bhrāmaraṃ kṣaudraṃ pauttikaṃ madhujātayaḥ| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1225 
 
mākṣikaṃ pravaraṃ teṣāṃ viśeṣādbhrāmaraṃ guru||243|| 
mākṣikaṃ tailavarṇaṃ syādghṛtavarṇaṃ tu pauttikam| 
kṣaudraṃ kapilavarṇaṃ syācchvetaṃ bhrāmaramucyate||244|| 
vātalaṃ guru śītaṃ ca raktapittakaphāpaham| 
sandhātṛ cchedanaṃ rūkṣaṃ kaṣāyaṃ madhuraṃ madhu ||245|| 
hanyānmadhūṣṇamuṣṇārtamathavā saviṣānvayāt| 
gururūkṣakaṣāyatvācchaityāccālpaṃ hitaṃ madhu||246|| 
Honey is four types viz.",Symptom
2102,Rakta,"Sugar in general is useful in thirst, Raktapitta (a disease characterized by 
bleeding from different parts of the body) and burning sensation.[238-242] 
Types of honey and benefits:  
माक्षिकं भ्रामरं िौरं पौवत्तकं मधुजातयः| 
माक्षिकं प्रिरं तेिां विशेिाद्धभ्रामरं गुरु||२४३|| 
माक्षिकं तैलिणं स्याद्घृतिणं तु पौवत्तकम्| 
िौरं कवपलिणं स्याच््िेतं भ्रामरमुच्यते||२४४|| 
िातलं गुरु शीतं च रक्तवपत्तकफापहम्| 
सवधातृ च्छेदनं रूिं किायं मधुरं मधु ||२४५|| 
हवयावमधूष्णमुष्णातघमथिा सवििावियात्| 
गुरुरूिकिायत्िाच्छैत्याच्चाल्पं हहतं मधु||२४६|| 
 
mākṣikaṃ bhrāmaraṃ kṣaudraṃ pauttikaṃ madhujātayaḥ| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 1225 
 
mākṣikaṃ pravaraṃ teṣāṃ viśeṣādbhrāmaraṃ guru||243|| 
mākṣikaṃ tailavarṇaṃ syādghṛtavarṇaṃ tu pauttikam| 
kṣaudraṃ kapilavarṇaṃ syācchvetaṃ bhrāmaramucyate||244|| 
vātalaṃ guru śītaṃ ca raktapittakaphāpaham| 
sandhātṛ cchedanaṃ rūkṣaṃ kaṣāyaṃ madhuraṃ madhu ||245|| 
hanyānmadhūṣṇamuṣṇārtamathavā saviṣānvayāt| 
gururūkṣakaṣāyatvācchaityāccālpaṃ hitaṃ madhu||246|| 
Honey is four types viz.",Ingredient
